"id","name","user_type_id/id","group_id/id","code","chart_template_id/id","reconcile"
"__coapy__1","RECAUDACIONES A DEPOSITAR","account.data_account_type_liquidity","grupo_cuenta_1_01_01",1,"py_chart_template","False"
"__coapy__2","CAJA","account.data_account_type_liquidity","grupo_cuenta_1_01_01",2,"py_chart_template","False"
"__coapy__3","FONDOS FIJOS ","account.data_account_type_liquidity","grupo_cuenta_1_01_01",3,"py_chart_template","False"
"__coapy__4","BANCOS","account.data_account_type_liquidity","grupo_cuenta_1_01_01",4,"py_chart_template","False"
"__coapy__5","TRANSFERENCIAS DE EFECTIVO","account.data_account_type_liquidity","grupo_cuenta_1_01_01",5,"py_chart_template","True"
"__coapy__6","INVERSIONES FINANCIERAS","account.data_account_type_current_assets","grupo_cuenta_1_01_02",1,"py_chart_template","False"
"__coapy__7","INVERSIONES EN ENTIDADES VINCULADAS","account.data_account_type_current_assets","grupo_cuenta_1_01_02",2,"py_chart_template","False"
"__coapy__8","OTRAS INVERSIONES","account.data_account_type_current_assets","grupo_cuenta_1_01_02",3,"py_chart_template","False"
"__coapy__9","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","account.data_account_type_current_assets","grupo_cuenta_1_01_02",4,"py_chart_template","False"
"__coapy__10","DEUDORES POR VENTAS","account.data_account_type_receivable","grupo_cuenta_1_01_03",1,"py_chart_template","True"
"__coapy__11","DEUDORES POR PRÉSTAMOS","account.data_account_type_receivable","grupo_cuenta_1_01_03",2,"py_chart_template","True"
"__coapy__12","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS ","account.data_account_type_receivable","grupo_cuenta_1_01_03",3,"py_chart_template","True"
"__coapy__13","CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS","account.data_account_type_receivable","grupo_cuenta_1_01_03",5,"py_chart_template","True"
"__coapy__15","ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA ","account.data_account_type_current_assets","grupo_cuenta_1_01_03",6,"py_chart_template","False"
"__coapy__16","RETENCIONES DE IVA","account.data_account_type_current_assets","grupo_cuenta_1_01_03",7,"py_chart_template","False"
"__coapy__17","IVA - CRÉDITO FISCAL ","account.data_account_type_current_assets","grupo_cuenta_1_01_03",8,"py_chart_template","False"
"__coapy__18","IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO","account.data_account_type_current_assets","grupo_cuenta_1_01_03",9,"py_chart_template","False"
"__coapy__20","ANTICIPOS A PROVEEDORES LOCALES","account.data_account_type_prepayments","grupo_cuenta_1_01_03",11,"py_chart_template","False"
"__coapy__21","ANTICIPOS A PROVEEDORES DEL EXTERIOR","account.data_account_type_prepayments","grupo_cuenta_1_01_03",12,"py_chart_template","False"
"__coapy__22","(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","account.data_account_type_prepayments","grupo_cuenta_1_01_03",99,"py_chart_template","False"
"__coapy__23","MERCADERÍAS ","account.data_account_type_current_assets","grupo_cuenta_1_01_04",1,"py_chart_template","False"
"__coapy__24","MERCADERÍAS GRAVADAS POR EL IVA AL 10%","account.data_account_type_current_assets","grupo_cuenta_1_01_04",2,"py_chart_template","False"
"__coapy__25","MERCADERÍAS GRAVADAS POR EL IVA AL 5%","account.data_account_type_current_assets","grupo_cuenta_1_01_04",3,"py_chart_template","False"
"__coapy__26","MERCADERÍAS EXENTAS DEL IVA","account.data_account_type_current_assets","grupo_cuenta_1_01_04",4,"py_chart_template","False"
"__coapy__27","MERCADERÍAS REGÍMENES ESPECIALES","account.data_account_type_current_assets","grupo_cuenta_1_01_04",5,"py_chart_template","False"
"__coapy__28","MERCADERÍAS RÉGIMEN DE TURISMO","account.data_account_type_current_assets","grupo_cuenta_1_01_04",6,"py_chart_template","False"
"__coapy__29","MERCADERÍAS ZONA FRANCA","account.data_account_type_current_assets","grupo_cuenta_1_01_04",7,"py_chart_template","False"
"__coapy__30","MERCADERÍAS RÉGIMEN DE MAQUILA","account.data_account_type_current_assets","grupo_cuenta_1_01_04",8,"py_chart_template","False"
"__coapy__31","MERCADERÍAS OTROS REGÍMENES ESPECIALES ","account.data_account_type_current_assets","grupo_cuenta_1_01_04",9,"py_chart_template","False"
"__coapy__32","PRODUCTOS TERMINADOS","account.data_account_type_current_assets","grupo_cuenta_1_01_04",10,"py_chart_template","False"
"__coapy__33","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%","account.data_account_type_current_assets","grupo_cuenta_1_01_04",11,"py_chart_template","False"
"__coapy__34","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%","account.data_account_type_current_assets","grupo_cuenta_1_01_04",12,"py_chart_template","False"
"__coapy__35","PRODUCTOS TERMINADOS EXENTOS DEL IVA","account.data_account_type_current_assets","grupo_cuenta_1_01_04",13,"py_chart_template","False"
"__coapy__36","PRODUCTOS EN PROCESO","account.data_account_type_current_assets","grupo_cuenta_1_01_04",14,"py_chart_template","False"
"__coapy__37","MATERIAS PRIMAS ","account.data_account_type_current_assets","grupo_cuenta_1_01_04",15,"py_chart_template","False"
"__coapy__38","MATERIALES, SUMINISTROS Y REPUESTOS","account.data_account_type_current_assets","grupo_cuenta_1_01_04",16,"py_chart_template","False"
"__coapy__39","PRODUCTOS AGRÍCOLAS","account.data_account_type_current_assets","grupo_cuenta_1_01_04",17,"py_chart_template","False"
"__coapy__40","PRODUCTOS FORESTALES ","account.data_account_type_current_assets","grupo_cuenta_1_01_04",18,"py_chart_template","False"
"__coapy__41","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN ","account.data_account_type_current_assets","grupo_cuenta_1_01_04",19,"py_chart_template","False"
"__coapy__42","ACTIVOS BIOLÓGICOS EN DESARROLLO","account.data_account_type_current_assets","grupo_cuenta_1_01_04",20,"py_chart_template","False"
"__coapy__43","IMPORTACIONES EN CURSO","account.data_account_type_current_assets","grupo_cuenta_1_01_04",21,"py_chart_template","False"
"__coapy__44","STOCK ENTRANTE","account.data_account_type_current_assets","grupo_cuenta_1_01_04",22,"py_chart_template","True"
"__coapy__45","STOCK SALIENTE","account.data_account_type_current_assets","grupo_cuenta_1_01_04",23,"py_chart_template","True"
"__coapy__46","(-) PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS","account.data_account_type_current_assets","grupo_cuenta_1_01_04",99,"py_chart_template","False"
"__coapy__47","ALQUILERES PAGADOS POR ADELANTADO","account.data_account_type_prepayments","grupo_cuenta_1_01_05",1,"py_chart_template","False"
"__coapy__48","SEGUROS A DEVENGAR","account.data_account_type_current_assets","grupo_cuenta_1_01_05",2,"py_chart_template","False"
"__coapy__49","DEUDORES POR VENTAS","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",1,"py_chart_template","False"
"__coapy__50","DEUDORES POR PRÉSTAMOS","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",2,"py_chart_template","False"
"__coapy__51","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS ","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",3,"py_chart_template","False"
"__coapy__52","CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",4,"py_chart_template","False"
"__coapy__53","DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",5,"py_chart_template","False"
"__coapy__54","ANTICIPOS A PROVEEDORES","account.data_account_type_non_current_assets","grupo_cuenta_1_02_01",6,"py_chart_template","False"
